"CmtSiteCode","KnsID","SiteId"
1,1,1
2,2,2
3,3,4
4,4,3
5,5,5
6,6,6
7,7,27
8,8,8
9,9,28
10,10,10
11,11,11
12,12,13
13,13,14
14,14,12
15,15,15
16,16,25
17,20,1
18,21,2
19,22,4
20,23,3
21,24,5
22,25,6
23,26,27
24,27,8
25,28,28
26,29,10
27,30,11
28,31,13
29,32,14
30,35,25
31,39,31
32,42,185
33,43,68
35,102,34
36,147,8
37,148,149
38,149,13
39,190,1
40,191,3
41,192,14
42,193,4
43,194,6
44,195,8
45,196,2
46,197,13
47,198,28
48,199,27
49,200,5
50,201,10
51,202,11
52,203,25
53,210,209
54,212,19
55,214,213
56,217,196
57,218,212
58,219,12
59,220,273
60,221,185
61,222,15
62,228,224
63,231,242
64,233,4
65,234,4
66,235,4
67,236,4
68,237,4
69,238,4
70,239,4
71,240,4
72,241,4
73,242,4
74,243,4
75,244,4
76,245,4
77,246,4
78,247,27
79,248,27
80,249,27
81,250,27
82,251,27
83,252,27
84,253,27
85,254,12
86,255,12
87,256,11
88,257,11
89,258,3
90,259,3
91,260,3
92,261,3
93,262,3
94,263,3
95,264,3
96,265,3
97,266,3
98,267,3
99,268,3
100,269,3
101,270,3
102,271,3
103,272,14
104,273,14
105,274,22
106,275,22
107,276,22
108,277,22
109,278,22
110,279,22
111,280,22
112,281,22
113,282,23
114,283,23
115,284,18
116,285,28
117,286,28
118,287,28
119,288,28
120,289,28
121,290,28
122,291,28
123,292,28
124,293,5
125,294,5
126,295,5
127,296,5
128,297,5
129,298,5
130,299,5
131,303,5
132,304,5
133,305,13
134,307,5
135,308,5
136,309,5
137,310,5
138,311,5
139,313,15
140,314,17
142,315,2
143,316,2
144,317,2
145,318,2
146,319,2
147,320,2
148,321,2
149,322,2
150,323,2
151,324,2
152,325,2
153,326,2
154,327,2
155,328,2
156,330,28
157,331,28
158,332,28
159,333,28
160,334,28
161,340,28
162,341,8
163,342,8
164,343,8
165,344,8
166,345,8
167,346,8
168,347,8
169,348,8
170,349,8
171,350,8
172,351,8
173,352,8
174,353,8
175,354,8
176,355,10
177,356,10
178,357,10
179,358,10
180,359,10
181,360,10
182,361,10
183,362,10
184,363,6
185,364,6
186,365,6
187,366,6
188,367,6
189,368,6
190,369,6
191,370,6
192,371,6
193,372,6
194,373,6
195,374,6
196,375,6
197,376,6
198,377,1
199,378,1
200,379,1
201,380,1
202,381,1
203,382,1
204,383,1
205,384,1
206,385,1
207,386,1
208,387,1
209,388,1
210,389,1
211,390,225
212,391,223
213,393,14
214,394,14
215,395,14
216,396,1
217,398,230
218,400,243
219,402,240
220,406,252
221,408,251
222,410,244
223,411,123
224,415,255
225,417,256
226,418,263
227,420,265
228,423,272
229,424,258
230,426,264
231,427,261
232,428,260
233,429,259
234,430,277
235,431,294
236,432,48
237,433,271
238,434,266
239,435,269
240,436,270
241,437,274
242,438,40
243,440,278
244,445,288
245,447,238
246,448,293
247,449,290
248,450,295
249,652,1
250,653,2
251,654,3
252,655,4
253,656,5
254,657,6
255,658,27
256,659,8
257,660,28
258,661,10
259,662,11
260,663,13
261,664,25
262,665,12
263,666,15
264,667,14
265,668,19
266,669,300
267,670,306
268,673,307
269,674,260
270,675,209
271,676,313
272,677,309
273,678,310
274,679,317
275,680,185
276,681,312
277,682,311
278,683,314
279,684,315
280,685,249
281,687,61
282,689,318
283,690,319
284,691,322
285,692,320
286,693,324
287,694,321
288,695,308
289,696,323
290,698,293
291,699,336
292,700,337
293,701,344
294,702,339
295,703,343
296,705,374
297,706,373
298,708,266
299,710,463
300,711,514
301,713,464
302,715,496
303,717,206
304,718,513
305,719,518
306,720,497
307,722,498
308,724,309
309,727,506
310,830,508
311,832,510
312,833,511
313,834,512
314,836,520
315,837,515
316,839,525
317,843,523
318,845,524
319,846,2
320,847,4
321,848,5
322,849,10
323,850,8
324,851,14
325,852,28
326,853,11
327,854,1
328,855,6
329,856,27
330,857,13
331,858,3
332,860,19
333,861,25
334,862,12
335,863,15
336,865,312
337,866,196
338,868,527
339,871,29
340,873,335
341,874,209
342,876,536
343,877,537
344,878,43
345,882,539
346,884,540
347,890,541
348,892,520
349,894,249
350,895,542
351,896,525
352,897,546
353,898,543
354,900,59
355,903,544
356,904,545
357,907,556
358,909,554
359,911,558
360,913,559
361,916,560
362,918,562
363,920,565
364,921,15
365,922,2
366,923,12
367,924,25
368,925,14
369,926,3
370,927,19
371,928,28
372,929,4
373,930,10
374,931,13
375,932,6
376,933,8
377,934,11
378,935,5
379,936,27
380,937,1
381,938,567
382,940,568
383,944,312
384,945,543
385,947,569
386,948,209
387,949,516
388,950,570
389,951,571
390,952,572
391,954,29
392,955,573
393,956,574
394,957,288
395,958,575
396,959,576
397,961,78
398,964,577
399,965,578
400,967,580
401,968,581
402,969,582
403,970,579
404,971,583
405,972,562
406,973,565
407,974,308
408,975,584
409,976,587
410,977,591
411,980,592
412,981,510
413,982,593
414,983,527
415,984,594
416,986,597
417,987,598
418,988,599
419,989,604
420,990,602
421,991,426
422,1001,605
423,1002,606
424,1004,607
425,1005,608
426,1006,501
427,1011,609
428,1012,610
429,1013,612
430,2016,617
431,2019,619
432,2020,620
433,2021,622
434,2022,623
435,2023,624
436,2024,625
437,2025,626
438,2026,627
439,2027,628
440,2028,630
441,2029,631
442,2030,632
443,2031,633
444,2032,634
445,2033,635
446,2034,636
447,2035,637
448,2038,643
449,2041,640
450,2042,641
451,2043,642
452,2045,19
453,2048,644
454,2049,645
455,2051,646
456,2052,647
457,2053,648
458,2054,649
459,2055,652
460,2056,655
461,2057,659
462,2058,660
463,2059,661
464,2061,662
465,2062,663
466,2063,667
467,2064,668
468,2065,669
469,2066,670
470,2067,674
471,2068,675
472,2069,679
473,2070,680
474,2072,681
475,2073,682
476,2074,684
477,2075,685
478,2076,686
479,2078,688
480,2080,689
481,2081,1
482,2082,10
483,2083,11
484,2084,4
485,2085,6
486,2086,8
487,2087,3
488,2088,2
489,2089,13
490,2090,28
491,2091,27
492,2092,5
493,2093,25
494,2094,12
495,2095,19
496,2096,690
497,2098,691
498,2099,692
499,2100,693
500,2101,694
501,2105,695
502,2106,696
503,2107,65
504,2108,697
505,2109,689
506,2110,4
507,2111,2
508,2112,690
509,2113,699
510,2114,14
511,2115,6
512,2116,8
513,2117,3
514,2118,1
515,2119,13
516,2120,28
517,2121,27
518,2122,5
519,2123,10
520,2124,11
521,2126,503
522,2130,700
523,2131,701
524,2132,702
525,2137,689
526,2138,4
527,2139,2
528,2140,499
529,2141,711
530,2142,705
531,2143,706
532,2144,712
533,2145,707
534,2146,14
535,2147,28
536,2148,6
537,2149,8
538,2150,3
539,2151,13
540,2152,1
541,2153,27
542,2154,5
543,2155,10
544,2156,11
545,2157,708
546,2158,19
547,2159,25
548,2160,704
549,2161,703
550,2162,578
551,2163,583
552,2165,196
553,2166,709
554,2167,710
555,2168,12
556,2173,714
557,2175,543
558,2176,209
559,2177,722
560,2178,527
561,2179,723
562,2182,724
