"FactionID","Name","KnessetNum","StartDate","FinishDate","IsCurrent","LastUpdatedDate"
3,ישראל אחת (2),15,1999-06-07 00:00:00,2001-05-15 00:00:00,0,2019-01-24 11:45:06
4,הליכוד,15,1999-06-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
5,"התאחדות הספרדים שומרי תורה - תנועת ש""ס",15,1999-06-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
6,מרצ,15,1999-06-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
7,איחוד לאומי - ישראל ביתנו,15,2000-02-01 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
8,שינוי - התנועה החילונית,15,1999-06-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
9,מפלגה דתית לאומית,15,1999-06-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
10,יהדות התורה,15,1999-06-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
11,ישראל בעליה,15,1999-06-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
12,גשר,15,2001-03-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
13,דרך חדשה,15,2001-03-06 00:00:00,2001-05-07 00:00:00,0,2019-01-24 11:45:06
14,חזית דמוקרטית לשלום ושוויון,15,1999-06-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
15,מפלגת המרכז,15,1999-06-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
16,רשימה ערבית מאוחדת,15,1999-06-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
17,בחירה דמוקרטית,15,1999-10-18 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
18,מפלגה לאומית ערבית,15,2001-02-19 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
19,עם אחד,15,1999-06-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
20,ברית לאומית דמוקרטית,15,1999-06-07 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
21,חרות - התנועה הלאומית,15,2000-02-01 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
22,תנועה ערבית להתחדשות,15,1999-12-21 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
23,עבודה - מימד,15,2001-05-15 00:00:00,2003-02-17 00:00:00,0,2019-01-24 11:45:06
24,הליכוד,16,2003-02-17 00:00:00,2006-04-17 00:00:00,0,2019-01-24 11:45:06
42,עבודה - מימד,16,2003-02-17 00:00:00,2005-05-23 00:00:00,0,2019-01-24 11:45:06
43,שינוי - התנועה החילונית,16,2003-02-17 00:00:00,2005-05-18 00:00:00,0,2019-01-24 11:45:06
44,"התאחדות הספרדים שומרי תורה - תנועת ש""ס",16,2003-02-17 00:00:00,2006-04-17 00:00:00,0,2019-01-24 11:45:06
45,איחוד לאומי,16,2003-02-17 00:00:00,2006-04-17 00:00:00,0,2019-01-24 11:45:06
46,מרצ - הבחירה הדמוקרטית-שחר,16,2003-02-17 00:00:00,2004-06-15 00:00:00,0,2019-01-24 11:45:06
47,עם אחד,16,2003-02-17 00:00:00,2005-05-23 00:00:00,0,2019-01-24 11:45:06
48,יהדות התורה,16,2003-02-17 00:00:00,2005-01-12 00:00:00,0,2019-01-24 11:45:06
49,מפלגה דתית לאומית,16,2003-02-17 00:00:00,2006-04-17 00:00:00,0,2019-01-24 11:45:06
50,"חד""ש - תע""ל",16,2003-02-17 00:00:00,2006-02-07 00:00:00,0,2019-01-24 11:45:06
51,ברית לאומית דמוקרטית,16,2003-02-17 00:00:00,2006-04-17 00:00:00,0,2019-01-24 11:45:06
52,רשימה ערבית מאוחדת,16,2003-02-17 00:00:00,2006-04-17 00:00:00,0,2019-01-24 11:45:06
53,ישראל בעליה,16,2003-02-17 00:00:00,2003-03-10 00:00:00,0,2019-01-24 11:45:06
62,יחד והבחירה הדמוקרטית,16,2004-06-15 00:00:00,2005-07-27 00:00:00,0,2019-01-24 11:45:06
83,מפלגת הפועלים המאוחדת,0,1948-02-14 00:00:00,1949-02-14 00:00:00,0,2019-01-24 11:45:06
85,אגודת ישראל,0,1948-02-14 00:00:00,1949-02-14 00:00:00,0,2019-01-24 11:45:06
87,מפלגת פועלי ארץ ישראל,0,1948-02-14 00:00:00,1949-02-14 00:00:00,0,2019-01-24 11:45:06
89,תנועת החירות,0,1948-02-14 00:00:00,1949-02-14 00:00:00,0,2019-01-24 11:45:06
91,הציונים הכלליים,0,1948-02-14 00:00:00,1949-02-14 00:00:00,0,2019-01-24 11:45:06
93,האיחוד הארצי של הספרדים,0,1948-02-14 00:00:00,1949-02-14 00:00:00,0,2019-01-24 11:45:06
95,המפלגה הפרוגרסיבית,0,1948-02-14 00:00:00,1949-02-14 00:00:00,0,2019-01-24 11:45:06
97,פועלי אגודת ישראל,0,1948-02-14 00:00:00,1949-02-14 00:00:00,0,2019-01-24 11:45:06
99,המפלגה הקומוניסטית הישראלית,0,1948-02-14 00:00:00,1949-02-14 00:00:00,0,2019-01-24 11:45:06
101,המזרחי ודתיים בלתי מפלגתיים,0,1948-02-14 00:00:00,1949-02-14 00:00:00,0,2019-01-24 11:45:06
103,"הסתדרות נשים ציוניות ""ויצו""",0,1948-02-14 00:00:00,1949-02-14 00:00:00,0,2019-01-24 11:45:06
105,מפלגת פועלים מאוחדת,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
107,"המפד""ל",1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
109,מפלגת פועלי ארץ-ישראל,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
111,רשימה דמוקרטית של נצרת,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
113,הרשימה הדמוקרטית לערביי ישראל,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
115,תנועת החרות,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
117,ציונים כלליים,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
119,ספרדים ועדות מזרח,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
121,חקלאות ופיתוח,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
123,מפלגה פרוגרסיבית,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
125,רשימת הלוחמים,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
127,פועלי אגודת ישראל,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
129,מפלגה קומוניסטית ישראלית,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
131,חזית דתית מאוחדת,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
133,המזרחי ודתיים בלתי מפלגתיים,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
135,עם התורה אגודת ישראל,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
137,תורה ועבודה הפועל המזרחי,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
139,התאחדות התימנים בישראל,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
141,הקידמה והעבודה,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
143,הספרדים,1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
145,"ויצ""ו",1,1949-02-14 00:00:00,1951-08-20 00:00:00,0,2019-01-24 11:45:06
147,מפלגת פועלים מאוחדת,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
149,מפלגת פועלי ארץ-ישראל,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
151,רשימה דמוקרטית לערביי ישראל,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
153,תנועת החרות,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
155,ציונים כלליים,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
157,האיחוד הארצי של הספרדים,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
159,חקלאות ופיתוח,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
161,מפלגה פרוגרסיבית,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
163,אחדות העבודה - פועלי ציון,2,1954-08-23 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
165,פועלי אגודת ישראל,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
167,מפלגה קומוניסטית ישראלית,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
169,מזרחי,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
171,אגודת ישראל,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
173,פועל מזרחי,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
175,חזית דתית לאומית,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
177,חזית דתית תורתית,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
179,התאחדות התימנים בישראל,2,1951-08-20 00:00:00,1951-09-10 00:00:00,0,2019-01-24 11:45:06
181,קידמה ועבודה,2,1951-08-20 00:00:00,1955-08-15 00:00:00,0,2019-01-24 11:45:06
183,ספרדים ועדות מזרח,2,1951-08-20 00:00:00,1951-09-10 00:00:00,0,2019-01-24 11:45:06
185,מפלגת פועלים מאוחדת,3,1955-08-15 00:00:00,1959-11-30 00:00:00,0,2019-01-24 11:45:06
187,הקידמה והפיתוח,3,1955-08-15 00:00:00,1959-11-30 00:00:00,0,2019-01-24 11:45:06
189,מפלגת פועלי ארץ-ישראל,3,1955-08-15 00:00:00,1959-11-30 00:00:00,0,2019-01-24 11:45:06
191,רשימה דמוקרטית לערביי ישראל,3,1955-08-15 00:00:00,1959-11-30 00:00:00,0,2019-01-24 11:45:06
193,תנועת החרות,3,1955-08-15 00:00:00,1959-11-30 00:00:00,0,2019-01-24 11:45:06
195,ציונים כלליים,3,1955-08-15 00:00:00,1959-11-30 00:00:00,0,2019-01-24 11:45:06
197,חקלאות ופיתוח,3,1955-08-15 00:00:00,1959-11-30 00:00:00,0,2019-01-24 11:45:06
199,מפלגה פרוגרסיבית,3,1955-08-15 00:00:00,1959-11-30 00:00:00,0,2019-01-24 11:45:06
201,השיתוף והאחוה,3,1955-08-15 00:00:00,1959-11-30 00:00:00,0,2019-01-24 11:45:06
203,אחדות העבודה - פועלי ציון,3,1955-08-15 00:00:00,1959-11-30 00:00:00,0,2019-01-24 11:45:06
205,מפלגה קומוניסטית ישראלית,3,1955-08-15 00:00:00,1959-11-30 00:00:00,0,2019-01-24 11:45:06
207,חזית דתית לאומית,3,1955-08-15 00:00:00,1955-10-31 00:00:00,0,2019-01-24 11:45:06
209,חזית דתית תורתית,3,1955-08-15 00:00:00,1955-11-03 00:00:00,0,2019-01-24 11:45:06
211,קידמה ועבודה,3,1955-08-15 00:00:00,1959-11-30 00:00:00,0,2019-01-24 11:45:06
213,מפלגת פועלים מאוחדת,4,1959-11-30 00:00:00,1961-09-04 00:00:00,0,2019-01-24 11:45:06
215,אגודת ישראל,4,1960-08-09 00:00:00,1961-09-04 00:00:00,0,2019-01-24 11:45:06
217,קידמה ופיתוח,4,1959-11-30 00:00:00,1961-09-04 00:00:00,0,2019-01-24 11:45:06
219,מפלגת פועלי ארץ-ישראל,4,1959-11-30 00:00:00,1961-09-04 00:00:00,0,2019-01-24 11:45:06
221,תנועת החרות,4,1959-11-30 00:00:00,1961-09-04 00:00:00,0,2019-01-24 11:45:06
223,ציונים כלליים,4,1959-11-30 00:00:00,1961-05-08 00:00:00,0,2019-01-24 11:45:06
225,חקלאות ופיתוח,4,1959-11-30 00:00:00,1961-09-04 00:00:00,0,2019-01-24 11:45:06
227,מפלגה פרוגרסיבית,4,1959-11-30 00:00:00,1961-05-08 00:00:00,0,2019-01-24 11:45:06
229,שיתוף ואחווה,4,1959-11-30 00:00:00,1961-09-04 00:00:00,0,2019-01-24 11:45:06
231,אחדות העבודה - פועלי ציון,4,1959-11-30 00:00:00,1961-09-04 00:00:00,0,2019-01-24 11:45:06
233,פועלי אגודת ישראל,4,1960-08-09 00:00:00,1961-09-04 00:00:00,0,2019-01-24 11:45:06
235,מפלגה קומוניסטית ישראלית,4,1959-11-30 00:00:00,1961-09-04 00:00:00,0,2019-01-24 11:45:06
237,מפלגה דתית לאומית,4,1959-11-30 00:00:00,1961-09-04 00:00:00,0,2019-01-24 11:45:06
239,חזית דתית תורתית,4,1959-11-30 00:00:00,1960-08-09 00:00:00,0,2019-01-24 11:45:06
241,מפלגה ליברלית ישראלית,4,1961-05-08 00:00:00,1961-09-04 00:00:00,0,2019-01-24 11:45:06
243,מפלגת פועלים מאוחדת,5,1961-09-04 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
245,אגודת ישראל,5,1961-09-04 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
247,המפלגה הליברלית החדשה,5,1961-09-04 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
249,קידמה ופיתוח,5,1961-09-04 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
251,מפלגת פועלי ארץ-ישראל,5,1961-09-04 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
253,תנועת החרות,5,1961-09-04 00:00:00,1965-05-25 00:00:00,0,2019-01-24 11:45:06
255,גוש חרות ליברלים,5,1965-05-25 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
257,רשימת פועלים ישראלית,5,1965-07-14 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
259,שיתוף ואחווה,5,1961-09-04 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
261,אחדות העבודה - פועלי ציון,5,1961-09-04 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
263,פועלי אגודת ישראל,5,1961-09-04 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
265,מפלגה קומוניסטית ישראלית,5,1961-09-04 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
267,המערך,5,1961-09-04 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
269,מפלגה דתית לאומית,5,1961-09-04 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
271,מפלגה ליברלית ישראלית,5,1961-09-04 00:00:00,1965-05-25 00:00:00,0,2019-01-24 11:45:06
273,ליברלים עצמאיים,5,1965-03-16 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
275,רשימה קומוניסטית חדשה,5,1965-09-01 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
277,העולם הזה - כוח חדש,5,1961-09-04 00:00:00,1965-11-22 00:00:00,0,2019-01-24 11:45:06
279,מפלגת פועלים מאוחדת,6,1965-11-22 00:00:00,1969-01-28 00:00:00,0,2019-01-24 11:45:06
281,"המפד""ל",6,1965-11-22 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
283,אגודת ישראל,6,1965-11-22 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
285,קידמה ופיתוח,6,1965-11-22 00:00:00,1966-07-05 00:00:00,0,2019-01-24 11:45:06
287,גוש חרות ליברלים,6,1965-11-22 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
289,רשימת פועלים ישראלית,6,1965-11-22 00:00:00,1968-01-23 00:00:00,0,2019-01-24 11:45:06
291,שיתוף ואחווה,6,1965-11-22 00:00:00,1966-07-05 00:00:00,0,2019-01-24 11:45:06
293,פועלי אגודת ישראל,6,1965-11-22 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
295,מפלגה קומוניסטית ישראלית,6,1965-11-22 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
297,אחווה יהודית - ערבית,6,1968-10-22 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
299,מערך,6,1969-01-28 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
301,רשימה ממלכתית,6,1965-11-22 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
303,מפלגה דתית לאומית,6,1965-11-22 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
305,ליברלים עצמאיים,6,1965-11-22 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
307,מרכז חופשי,6,1967-03-29 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
309,רשימה קומוניסטית חדשה,6,1965-11-22 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
311,העולם הזה - כוח חדש,6,1965-11-22 00:00:00,1969-11-17 00:00:00,0,2019-01-24 11:45:06
313,הליכוד,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
315,מפלגה דתית לאומית,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
317,התנועה לזכויות האזרח ולשלום,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
319,אגודת ישראל,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
321,קידמה ופיתוח,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
323,לבדוים ולכפרים,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
325,גוש חרות ליברלים,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
327,רשימת פועלי ישראל,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
329,שיתוף ואחווה,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
331,פועלי אגודת ישראל,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
333,מפלגה קומוניסטית ישראלית,7,1969-11-17 00:00:00,1973-07-25 00:00:00,0,2019-01-24 11:45:06
335,סיעת האחווה הערבית היהודית,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
337,מערך,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
339,רשימה ממלכתית,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
341,חזית דתית לאומית,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
343,חזית דתית תורתית,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
345,מוקד,7,1973-07-25 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
347,ליברלים עצמאיים,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
349,מרכז חופשי,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
351,רשימה קומוניסטית חדשה,7,1969-11-17 00:00:00,1974-01-21 00:00:00,0,2019-01-24 11:45:06
353,העולם הזה - כוח חדש,7,1969-11-17 00:00:00,1973-07-03 00:00:00,0,2019-01-24 11:45:06
355,הליכוד,8,1974-01-21 00:00:00,1977-06-13 00:00:00,0,2019-01-24 11:45:06
357,מפלגה דתית לאומית,8,1974-01-21 00:00:00,1977-06-13 00:00:00,0,2019-01-24 11:45:06
359,"ר""ץ",8,1974-01-21 00:00:00,1975-06-03 00:00:00,0,2019-01-24 11:45:06
361,אגודת ישראל,8,1977-03-15 00:00:00,1977-06-13 00:00:00,0,2019-01-24 11:45:06
363,"חד""ש - בל""ד",8,1974-01-21 00:00:00,1977-06-13 00:00:00,0,2019-01-24 11:45:06
365,קידמה ופיתוח,8,1974-01-21 00:00:00,1974-02-26 00:00:00,0,2019-01-24 11:45:06
367,רשימה ערבית לבדואים וכפריים,8,1974-01-21 00:00:00,1974-02-26 00:00:00,0,2019-01-24 11:45:06
369,רשימה ערבית מאוחדת (ישן),8,1977-03-08 00:00:00,1977-06-13 00:00:00,0,2019-01-24 11:45:06
371,פועלי אגודת ישראל,8,1977-03-15 00:00:00,1977-06-13 00:00:00,0,2019-01-24 11:45:06
373,התנועה הדמוקרטית לשינוי,8,1974-01-21 00:00:00,1977-06-13 00:00:00,0,2019-01-24 11:45:06
375,מערך,8,1974-01-21 00:00:00,1977-06-13 00:00:00,0,2019-01-24 11:45:06
377,"מחנה של""י",8,1974-01-21 00:00:00,1977-06-13 00:00:00,0,2019-01-24 11:45:06
379,חזית דתית תורתית,8,1974-01-21 00:00:00,1977-03-15 00:00:00,0,2019-01-24 11:45:06
381,ליברלים עצמאיים,9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
383,פלאטו שרון,9,1977-06-13 00:00:00,1978-02-28 00:00:00,0,2019-01-24 11:45:06
385,מוקד,8,1974-01-21 00:00:00,1977-06-13 00:00:00,0,2019-01-24 11:45:06
387,ליברלים עצמאיים,8,1974-01-21 00:00:00,1977-06-13 00:00:00,0,2019-01-24 11:45:06
389,רשימה קומוניסטית חדשה,8,1974-01-21 00:00:00,1977-03-15 00:00:00,0,2019-01-24 11:45:06
391,חזית דמוקרטית לשלום ושוויון,8,1977-03-15 00:00:00,1977-06-13 00:00:00,0,2019-01-24 11:45:06
393,שלומציון,9,1977-06-13 00:00:00,1977-07-05 00:00:00,0,2019-01-24 11:45:06
395,סיעת יחיד,9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
397,הליכוד,9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
399,מפלגה דתית לאומית,9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
401,"תמ""י",9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
403,התחי-ה,9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
405,"ר""ץ",9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
407,שינוי - מפלגת מרכז,9,1980-07-29 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
409,אגודת ישראל,9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
411,"חד""ש - בל""ד",9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
413,תנועה לשינוי ויוזמה,9,1978-09-14 00:00:00,1980-07-29 00:00:00,0,2019-01-24 11:45:06
415,שוויון בישראל - פנתרים,9,1980-11-11 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
417,הקידמה והפיתוח,9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
419,רשימה ערבית מאוחדת (ישן),9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
421,תנועה להתחדשות ממלכתית,9,1981-05-19 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
422,דגל התורה,16,2005-01-12 00:00:00,2006-04-17 00:00:00,0,2019-01-24 11:45:06
423,תנועה דמוקרטית לשינוי,9,1977-06-13 00:00:00,1978-09-14 00:00:00,0,2019-01-24 11:45:06
424,אגודת ישראל,16,2005-01-12 00:00:00,2006-04-17 00:00:00,0,2019-01-24 11:45:06
425,תנועה דמוקרטית,9,1978-09-14 00:00:00,1981-03-10 00:00:00,0,2019-01-24 11:45:06
427,ישראל אחת (1),9,1980-11-11 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
429,פועלי אגודת ישראל,9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
431,מערך,9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
433,"מחנה של""י",9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
435,חזית דמוקרטית לשלום ושוויון,9,1977-06-13 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
437,אחווה,9,1980-07-08 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
439,יעד (2),9,1978-09-14 00:00:00,1981-07-20 00:00:00,0,2019-01-24 11:45:06
441,הליכוד,10,1981-07-20 00:00:00,1984-08-13 00:00:00,0,2019-01-24 11:45:06
442,התחברות,16,2005-03-21 00:00:00,2005-05-16 00:00:00,0,2019-01-24 11:45:06
443,מפלגת הפועלים המאוחדת,10,1981-07-20 00:00:00,1984-08-13 00:00:00,0,2019-01-24 11:45:06
444,ציונות לאומית דתית מתחדשת,16,2005-05-16 00:00:00,2006-04-17 00:00:00,0,2019-01-24 11:45:06
445,מפלגה דתית לאומית,10,1981-07-20 00:00:00,1984-08-13 00:00:00,0,2019-01-24 11:45:06
447,תנועה למסורת ישראל,10,1981-07-20 00:00:00,1984-08-13 00:00:00,0,2019-01-24 11:45:06
449,הרשימה המתקדמת לשלום,10,1981-07-20 00:00:00,1984-08-13 00:00:00,0,2019-01-24 11:45:06
451,אומץ,10,1981-07-20 00:00:00,1984-08-13 00:00:00,0,2019-01-24 11:45:06
453,"מורשה-פא""י",10,1981-07-20 00:00:00,1984-08-13 00:00:00,0,2019-01-24 11:45:06
