"StatusID","Desc","TypeID","TypeDesc","OrderTransition","IsActive","LastUpdatedDate"
6,בטיפול המשרד הנשאל,1,שאילתה,,,2013-10-06 14:08:19
8,השר סירב לענות,1,שאילתה,,,2013-10-06 14:08:19
9,נענתה,1,שאילתה,,,2013-10-06 14:08:19
10,,1,שאילתה,,,2013-10-06 14:08:19
12,נקבע תאריך תשובה,1,שאילתה,,,2013-10-06 14:08:19
13,הוגש ערעור,1,שאילתה,,,2013-10-06 14:08:19
14,נדחתה,1,שאילתה,,,2013-10-06 14:08:19
101,הוצעה בוועדה,2,הצעת חוק,,,2013-10-06 14:08:19
104,הונחה על שולחן הכנסת לדיון מוקדם,2,הצעת חוק,,,2013-10-06 14:08:19
106,בוועדת הכנסת לקביעת הוועדה המטפלת,2,הצעת חוק,,,2013-10-06 14:08:19
108,בהכנה לקריאה הראשונה בוועדה,2,הצעת חוק,,,2013-10-06 14:08:19
109,אושרה בוועדה לקריאה ראשונה,2,הצעת חוק,,,2013-10-06 14:08:19
110,הבקשה לדין רציפות נדחתה במליאה,2,הצעת חוק,,,2013-10-06 14:08:19
111,לדיון במליאה לקראת הקריאה הראשונה,2,הצעת חוק,,,2013-10-06 14:08:19
113,בהכנה לקריאה שנייה-שלישית בוועדה,2,הצעת חוק,,,2013-10-06 14:08:19
114,לדיון במליאה לקראת קריאה שנייה-שלישית,2,הצעת חוק,,,2013-10-06 14:08:19
115,הוחזרה לוועדה להכנה לקריאה שלישית,2,הצעת חוק,,,2013-10-06 14:08:19
117,לדיון במליאה לקראת קריאה שלישית,2,הצעת חוק,,,2013-10-06 14:08:19
118,התקבלה בקריאה שלישית,2,הצעת חוק,,,2013-10-06 14:08:19
120,לדיון במליאה על החלת דין רציפות,2,הצעת חוק,,,2013-10-06 14:08:19
122,מוזגה עם הצעת חוק אחרת,2,הצעת חוק,,,2013-10-06 14:08:19
124,הוסבה להצעה לסדר היום,2,הצעת חוק,,,2013-10-06 14:08:19
126,לאישור מיזוג בוועדת הכנסת,2,הצעת חוק,,,2013-10-06 14:08:19
130,הונחה על שולחן הכנסת לקריאה שנייה-שלישית,2,הצעת חוק,,,2013-10-06 14:08:19
131,הונחה על שולחן הכנסת לקריאה שלישית,2,הצעת חוק,,,2013-10-06 14:08:19
140,להסרה מסדר היום לבקשת ועדה,2,הצעת חוק,,,2013-10-06 14:08:19
141,הונחה על שולחן הכנסת לקריאה ראשונה,2,הצעת חוק,,,2013-10-06 14:08:19
142,בוועדת הכנסת לקביעת הוועדה המטפלת,2,הצעת חוק,,,2013-10-06 14:08:19
143,להסרה מסדר היום לבקשת ועדה,2,הצעת חוק,,,2013-10-06 14:08:19
150,במליאה לדיון מוקדם,2,הצעת חוק,,,2013-10-06 14:08:19
158,לאישור פיצול במליאה,2,הצעת חוק,,,2013-10-06 14:08:19
161,לאישור פיצול במליאה,2,הצעת חוק,,,2013-10-06 14:08:19
162,לאישור פיצול במליאה,2,הצעת חוק,,,2013-10-06 14:08:19
165,לאישור פיצול במליאה,2,הצעת חוק,,,2013-10-06 14:08:19
167,אושרה בוועדה לקריאה ראשונה,2,הצעת חוק,,,2013-10-06 14:08:19
169,לאישור מיזוג בוועדת הכנסת,2,הצעת חוק,,,2013-10-06 14:08:19
175,בדיון בוועדה על החלת דין רציפות,2,הצעת חוק,,,2013-10-06 14:08:19
176,הבקשה לדין רציפות נדחתה בוועדה,2,הצעת חוק,,,2013-10-06 14:08:19
177,נעצרה,2,הצעת חוק,,,2013-10-06 14:08:19
178,אושרה בוועדה לקריאה שנייה-שלישית,2,הצעת חוק,,,2013-10-06 14:08:19
179,אושרה בוועדה לקריאה שנייה-שלישית,2,הצעת חוק,,,2013-10-06 14:08:19
190,פעילה,12,ישיבת ועדה,,1,2014-02-09 00:00:00
191,פעילה,12,ישיבת ועדה,,1,2013-11-11 15:24:43
192,פעילה,12,ישיבת ועדה,,1,2013-11-11 15:25:15
193,מבוטלת,12,ישיבת ועדה,,1,2013-11-11 15:25:15
194,בתכנון,5,ישיבת מליאה,,1,2013-11-11 15:26:22
195,פעילה,5,ישיבת מליאה,,1,2013-11-11 15:26:22
304,הועברה לדיון בוועדה,4,הצעה לסדר היום,,,2013-10-06 14:08:19
305,אושרה לדיון במליאה,4,הצעה לסדר היום,,,2013-10-06 14:08:19
307,נכללה בסדר היום,4,הצעה לסדר היום,,,2013-10-06 14:08:19
309,הועברה לוועדת הכנסת לקביעת הוועדה המטפלת,4,הצעה לסדר היום,,,2013-10-06 14:08:19
310,מסקנות הוועדה הונחו על שולחן הכנסת,4,הצעה לסדר היום,,,2013-10-06 14:08:19
311,הוגשה תשובת שר למסקנות,4,הצעה לסדר היום,,,2013-10-06 14:08:19
314,הוגש ערעור לוועדת הכנסת,4,הצעה לסדר היום,,,2013-10-06 14:08:19
315,נידונה במליאה,4,הצעה לסדר היום,,,2013-10-06 14:08:19
333,אוחדה עם הצעות לסדר נוספות,4,הצעה לסדר היום,,,2013-10-06 14:08:19
335,נעצרה,4,הצעה לסדר היום,,,2013-10-06 14:08:19
801,פעיל,9,פריטי מליאה,,1,2013-10-06 14:08:19
803,נסגר,9,פריטי מליאה,,1,2013-10-06 14:08:19
804,בוטל,9,פריטי מליאה,,1,2013-10-06 14:08:19
833,הסתיימה,5,ישיבת מליאה,,1,2013-11-11 15:26:22
941,לדיון במליאה,950,שאילתה כוללת,,,2013-10-06 14:08:19
1001,חדש בועדה,11,פריט ועדה,,,2013-10-06 14:08:19
1002,בדיון,11,פריט ועדה,,,2013-10-06 14:08:19
1003,נסגר,11,פריט ועדה,,,2013-10-06 14:08:19
1004,בוטלה,11,פריט ועדה,,,2013-10-06 14:08:19
1005,לא נידון,11,פריט ועדה,,0,2013-10-06 14:08:19
1006,לדיון במליאה,11,פריט ועדה,,0,2013-10-06 14:08:19
6000,דיון במועצת המדינה הזמנית,6002,חוק בן חיצוני,,,2018-11-22 14:14:00
6010,,6000,פעולה על פי חוק,,1,2016-05-09 15:30:56
6011,,6000,פעולה על פי חוק,,1,2016-05-09 15:30:56
6012,,6000,פעולה על פי חוק,,1,2018-03-18 15:12:42
6013,,6000,פעולה על פי חוק,,1,2018-03-18 15:12:42
6014,,6000,פעולה על פי חוק,,1,2018-03-18 15:12:42
6015,,6000,פעולה על פי חוק,,1,2018-03-18 15:12:42
6016,,6000,פעולה על פי חוק,,1,2018-03-18 15:12:42
6017,,6000,פעולה על פי חוק,,1,2018-03-18 15:12:42
6018,,6000,פעולה על פי חוק,,1,2019-07-04 09:11:03
6019,,6000,פעולה על פי חוק,,1,2020-12-24 15:50:41
6020,פורסם ברשומות,6001,תיקון טעות,,1,2016-05-09 15:30:56
6030,פורסם ברשומות,6002,חוק בן חיצוני,,1,2016-05-09 15:30:56
6040,פורסם ברשומות,6003,חוק אב,,1,2016-05-09 15:30:56
